,ticker,open,high,low,close,volume,timestamp
0,TRMB,41.77,42.26,41.3,41.935,615913.0,2020-01-02
1,TRMB,41.39,41.6705,41.27,41.51,447774.0,2020-01-03
2,TRMB,41.02,41.45,40.93,41.305,775903.0,2020-01-06
3,TRMB,41.35,41.51,40.885,41.15,1040628.0,2020-01-07
4,TRMB,41.25,41.55,41.08,41.32,1050505.0,2020-01-08
5,TRMB,41.63,42.59,41.32,42.35,1191682.0,2020-01-09
6,TRMB,42.5,42.68,41.98,42.1,735975.0,2020-01-10
7,TRMB,42.29,42.78,42.15,42.77,624437.0,2020-01-13
8,TRMB,42.6,42.98,42.38,42.72,714576.0,2020-01-14
9,TRMB,42.73,43.23,42.34,42.65,1177591.0,2020-01-15
10,TRMB,42.97,44.01,42.8,43.93,1466958.0,2020-01-16
11,TRMB,44.04,44.22,43.87,44.14,948661.0,2020-01-17
12,TRMB,43.82,44.4,43.82,44.18,976805.0,2020-01-21
13,TRMB,44.4,44.54,44.15,44.24,1112633.0,2020-01-22
14,TRMB,44.09,44.46,43.74,44.39,1187842.0,2020-01-23
15,TRMB,44.55,44.73,43.9,44.08,764839.0,2020-01-24
16,TRMB,43.18,43.455,42.74,43.05,1083567.0,2020-01-27
17,TRMB,43.47,43.87,43.14,43.37,669853.0,2020-01-28
18,TRMB,43.61,43.86,43.41,43.42,712230.0,2020-01-29
19,TRMB,42.91,43.49,42.62,43.43,743332.0,2020-01-30
20,TRMB,43.31,43.49,42.32,42.52,1016357.0,2020-01-31
21,TRMB,42.9,43.735,42.9,43.51,957784.0,2020-02-03
22,TRMB,44.25,44.64,43.89,44.31,683855.0,2020-02-04
23,TRMB,44.94,45.11,44.3766,45.005,729853.0,2020-02-05
24,TRMB,45.28,45.56,44.515,44.55,840203.0,2020-02-06
25,TRMB,44.47,44.55,43.24,43.39,811110.0,2020-02-07
26,TRMB,43.17,43.88,42.8101,43.83,757103.0,2020-02-10
27,TRMB,44.16,44.51,42.84,43.79,967654.0,2020-02-11
28,TRMB,44.07,44.255,43.64,44.11,1135267.0,2020-02-12
29,TRMB,44.0,44.99,42.0,44.9,1971013.0,2020-02-13
30,TRMB,44.64,45.82,44.22,45.36,1512853.0,2020-02-14
31,TRMB,45.09,45.8,45.05,45.62,1087539.0,2020-02-18
32,TRMB,45.61,46.2,45.52,45.97,1024529.0,2020-02-19
33,TRMB,45.57,46.67,45.56,46.13,1085308.0,2020-02-20
34,TRMB,45.9,46.135,45.12,45.39,815820.0,2020-02-21
35,TRMB,43.71,44.68,43.46,44.27,1001820.0,2020-02-24
36,TRMB,44.57,44.96,42.75,42.84,915862.0,2020-02-25
37,TRMB,43.16,44.2,42.48,42.73,919844.0,2020-02-26
38,TRMB,41.7,42.31,40.07,40.17,1842191.0,2020-02-27
39,TRMB,38.82,40.12,38.31,39.48,3008900.0,2020-02-28
40,TRMB,39.88,41.05,39.01,41.0,1492365.0,2020-03-02
41,TRMB,40.82,41.62,39.55,39.79,1050789.0,2020-03-03
42,TRMB,40.42,40.66,39.12,40.57,1610026.0,2020-03-04
43,TRMB,39.54,40.43,39.51,40.27,3363663.0,2020-03-05
44,TRMB,38.78,40.44,38.41,40.0,4489660.0,2020-03-06
45,TRMB,37.31,38.8,36.01,36.14,2493952.0,2020-03-09
46,TRMB,37.53,37.98,34.895,35.67,3314973.0,2020-03-10
47,TRMB,34.61,34.61,32.55,33.23,2683621.0,2020-03-11
48,TRMB,30.72,32.25,26.55,27.05,2264287.0,2020-03-12
49,TRMB,29.32,30.45,27.37,28.35,4248806.0,2020-03-13
50,TRMB,24.37,26.85,23.15,24.22,2096363.0,2020-03-16
51,TRMB,24.59,24.81,20.79,22.09,4213539.0,2020-03-17
52,TRMB,20.65,22.69,20.01,21.32,2724824.0,2020-03-18
53,TRMB,21.07,25.62,20.95,25.33,6784199.0,2020-03-19
54,TRMB,25.68,28.41,25.03,26.0,5847121.0,2020-03-20
55,TRMB,25.28,27.91,23.79,26.54,4605120.0,2020-03-23
56,TRMB,27.73,29.01,26.72,28.52,1655801.0,2020-03-24
57,TRMB,29.28,29.73,27.29,28.79,1811696.0,2020-03-25
58,TRMB,28.86,30.7,28.43,30.64,1723022.0,2020-03-26
59,TRMB,29.76,30.34,29.03,29.85,2341086.0,2020-03-27
60,TRMB,30.05,31.18,29.36,31.03,1380315.0,2020-03-30
61,TRMB,31.29,32.74,30.72,31.83,1901833.0,2020-03-31
62,TRMB,30.63,31.24,28.815,29.1,4081961.0,2020-04-01
63,TRMB,28.79,30.26,28.64,29.89,1960704.0,2020-04-02
64,TRMB,29.6,30.065,27.79,28.46,1772143.0,2020-04-03
65,TRMB,29.9,31.55,29.79,31.14,1835606.0,2020-04-06
66,TRMB,32.69,33.48,31.88,32.01,1170169.0,2020-04-07
67,TRMB,32.49,33.68,31.84,33.24,867064.0,2020-04-08
68,TRMB,34.01,34.7137,33.5,34.46,1271820.0,2020-04-09
69,TRMB,34.2,34.2,32.01,32.19,775469.0,2020-04-13
70,TRMB,32.03,33.07,32.03,32.57,1879175.0,2020-04-14
71,TRMB,31.65,32.34,30.87,32.19,975061.0,2020-04-15
72,TRMB,32.37,32.65,31.145,31.34,2402723.0,2020-04-16
73,TRMB,32.23,32.78,31.48,32.46,1450313.0,2020-04-17
74,TRMB,32.08,33.14,30.93,32.32,1154116.0,2020-04-20
75,TRMB,31.77,32.06,31.39,31.68,766380.0,2020-04-21
76,TRMB,32.34,32.49,31.745,32.18,561944.0,2020-04-22
77,TRMB,32.55,33.37,32.44,32.91,949976.0,2020-04-23
78,TRMB,33.2,33.35,32.01,32.63,825993.0,2020-04-24
79,TRMB,32.97,34.54,32.79,34.35,792272.0,2020-04-27
80,TRMB,35.4,35.73,34.23,34.23,875519.0,2020-04-28
81,TRMB,34.83,36.05,34.79,35.71,968576.0,2020-04-29
82,TRMB,35.14,35.47,34.45,34.63,1298140.0,2020-04-30
83,TRMB,33.93,33.97,32.64,32.86,834439.0,2020-05-01
84,TRMB,32.49,32.96,31.65,32.11,2009326.0,2020-05-04
