,ticker,open,high,low,close,volume,timestamp
0,TEM,40.0,43.88,37.0,40.25,6338891.0,2024-06-14
1,TEM,42.79,43.0,33.84,36.48,3747445.0,2024-06-17
2,TEM,36.99,37.75,30.19,30.33,4184885.0,2024-06-18
3,TEM,30.87,31.2,24.0,27.26,4586261.0,2024-06-20
4,TEM,27.26,29.0,26.2,28.64,932510.0,2024-06-21
5,TEM,29.5,29.5,25.29,25.31,1558252.0,2024-06-24
6,TEM,25.31,26.1,22.89,24.96,2234970.0,2024-06-25
7,TEM,24.96,27.74,23.05,27.56,1513789.0,2024-06-26
8,TEM,28.4,31.25,27.68,30.83,1481470.0,2024-06-27
9,TEM,32.77,35.17,31.25,35.0,1191485.0,2024-06-28
10,TEM,37.0,37.0,32.0,33.34,614962.0,2024-07-01
11,TEM,34.45,36.34,33.74,35.98,721098.0,2024-07-02
12,TEM,37.0,37.65,32.8,34.39,1092567.0,2024-07-03
13,TEM,36.22,36.63,30.77,30.88,622032.0,2024-07-05
14,TEM,31.07,33.8,31.0,33.2,511514.0,2024-07-08
15,TEM,34.71,35.75,30.81,34.5,2065089.0,2024-07-09
16,TEM,35.5,36.49,34.45,35.0,1079337.0,2024-07-10
17,TEM,35.78,37.585,34.82,37.5,982889.0,2024-07-11
18,TEM,38.88,41.78,37.68,39.76,1633543.0,2024-07-12
19,TEM,39.76,40.8,36.4,36.6,1039671.0,2024-07-15
20,TEM,38.5,41.88,37.3065,40.74,1161680.0,2024-07-16
21,TEM,40.0,45.11,38.71,39.85,1146184.0,2024-07-17
22,TEM,41.56,42.25,39.5,40.14,959130.0,2024-07-18
23,TEM,41.0,42.8451,39.9,41.4,442787.0,2024-07-19
24,TEM,42.45,43.85,41.1,42.98,926987.0,2024-07-22
25,TEM,43.0,43.4,40.2,40.7,448166.0,2024-07-23
26,TEM,40.82,40.9254,37.68,38.05,622385.0,2024-07-24
27,TEM,38.5,40.1,37.2601,40.02,651257.0,2024-07-25
28,TEM,40.1,42.07,39.71,41.92,711779.0,2024-07-26
29,TEM,41.71,44.17,41.4182,43.87,519198.0,2024-07-29
30,TEM,44.71,46.55,42.76,45.97,865066.0,2024-07-30
31,TEM,46.58,47.09,43.12,43.28,573705.0,2024-07-31
32,TEM,44.92,45.58,39.01,39.28,605515.0,2024-08-01
33,TEM,38.0,39.48,36.11,39.045,680750.0,2024-08-02
34,TEM,32.82,38.8299,32.8,38.22,1005658.0,2024-08-05
35,TEM,41.51,41.99,38.0,40.65,999984.0,2024-08-06
36,TEM,39.91,40.93,38.55,38.82,1210522.0,2024-08-07
37,TEM,40.71,40.71,36.8,38.93,686372.0,2024-08-08
38,TEM,39.0,39.78,38.57,38.75,336523.0,2024-08-09
39,TEM,38.86,39.75,38.165,38.68,372948.0,2024-08-12
40,TEM,39.43,43.76,38.9406,42.65,718083.0,2024-08-13
41,TEM,42.7,43.844,41.19,42.9,605710.0,2024-08-14
42,TEM,43.76,47.81,43.75,47.2,717085.0,2024-08-15
43,TEM,47.0,52.82,46.6,50.88,1306381.0,2024-08-16
44,TEM,52.1,59.08,50.01,57.61,1424247.0,2024-08-19
45,TEM,58.0,74.83,56.94,58.71,3133286.0,2024-08-20
46,TEM,60.0,72.77,60.0,71.47,1756387.0,2024-08-21
47,TEM,72.35,77.0,61.02,64.53,2162427.0,2024-08-22
48,TEM,66.47,68.08,63.11,64.95,990747.0,2024-08-23
49,TEM,66.9,67.65,58.0,60.51,1042735.0,2024-08-26
50,TEM,60.51,72.45,60.51,68.47,1449880.0,2024-08-27
51,TEM,68.47,68.99,58.6001,59.23,1227827.0,2024-08-28
52,TEM,61.2,62.35,55.655,57.91,1192779.0,2024-08-29
53,TEM,57.91,59.7334,56.7,59.38,715263.0,2024-08-30
54,TEM,59.05,62.1956,51.5553,52.09,1083964.0,2024-09-03
55,TEM,52.0,55.7261,50.6288,53.735,797115.0,2024-09-04
56,TEM,54.31,60.17,53.808,55.63,948813.0,2024-09-05
57,TEM,55.35,56.28,47.0448,50.19,1465069.0,2024-09-06
58,TEM,51.94,51.94,43.91,47.27,1579956.0,2024-09-09
59,TEM,47.27,47.5,43.41,45.05,941896.0,2024-09-10
60,TEM,45.52,47.0,43.33,46.49,1069189.0,2024-09-11
61,TEM,46.49,50.95,44.65,45.45,1418489.0,2024-09-12
62,TEM,46.07,49.45,45.6,49.38,928426.0,2024-09-13
63,TEM,48.4,54.9,47.05,54.67,1356279.0,2024-09-16
