,ticker,open,high,low,close,volume,timestamp
0,TWST,21.22,21.22,20.19,20.85,290458.0,2020-01-02
1,TWST,20.58,21.06,20.05,20.89,269404.0,2020-01-03
2,TWST,20.69,22.44,20.17,22.34,340992.0,2020-01-06
3,TWST,22.47,22.47,21.3,21.46,297553.0,2020-01-07
4,TWST,21.52,21.93,21.14,21.23,296040.0,2020-01-08
5,TWST,21.41,21.62,21.01,21.23,295710.0,2020-01-09
6,TWST,21.32,22.21,21.05,21.14,557118.0,2020-01-10
7,TWST,21.18,21.33,20.16,21.15,231025.0,2020-01-13
8,TWST,21.1,21.98,20.8102,21.48,177277.0,2020-01-14
9,TWST,21.48,24.53,21.48,23.5,1785348.0,2020-01-15
10,TWST,23.0,23.74,21.94,23.0,811352.0,2020-01-16
11,TWST,22.8,23.895,22.6488,22.74,195268.0,2020-01-17
12,TWST,23.34,23.77,22.0,22.13,225238.0,2020-01-21
13,TWST,22.09,23.61,21.77,22.91,477005.0,2020-01-22
14,TWST,22.71,22.71,21.57,21.8,448104.0,2020-01-23
15,TWST,21.84,22.28,20.82,21.65,262051.0,2020-01-24
16,TWST,21.54,23.0,21.01,23.0,397998.0,2020-01-27
17,TWST,23.21,24.18,22.69,23.87,336517.0,2020-01-28
18,TWST,24.0,24.65,23.73,24.41,288501.0,2020-01-29
19,TWST,24.07,24.34,23.61,24.05,238005.0,2020-01-30
20,TWST,23.89,25.04,23.62,24.84,352278.0,2020-01-31
21,TWST,24.8,25.65,24.8,25.58,730538.0,2020-02-03
22,TWST,25.89,26.84,25.64,26.2,573156.0,2020-02-04
23,TWST,26.31,26.97,25.29,26.75,400989.0,2020-02-05
24,TWST,26.83,31.32,26.425,31.11,1457317.0,2020-02-06
25,TWST,30.01,33.43,30.01,32.46,1731936.0,2020-02-07
26,TWST,32.05,33.5,31.5,32.59,521792.0,2020-02-10
27,TWST,32.02,32.3,30.32,30.5,599574.0,2020-02-11
28,TWST,30.06,31.88,30.0,30.94,548157.0,2020-02-12
29,TWST,31.08,31.35,29.81,30.23,339945.0,2020-02-13
30,TWST,30.22,30.4,29.48,30.2,473900.0,2020-02-14
31,TWST,29.95,31.36,29.91,30.56,324802.0,2020-02-18
32,TWST,29.13,29.94,27.695,28.44,1046444.0,2020-02-19
33,TWST,30.14,33.79,29.79,33.13,3642082.0,2020-02-20
34,TWST,32.94,34.25,32.04,33.05,697103.0,2020-02-21
35,TWST,32.66,35.65,31.01,33.03,1063311.0,2020-02-24
36,TWST,33.23,34.03,31.5,31.7,711390.0,2020-02-25
37,TWST,31.88,32.87,30.1,30.72,558965.0,2020-02-26
38,TWST,30.14,32.55,29.13,30.28,514830.0,2020-02-27
39,TWST,29.31,31.07,29.31,30.62,809148.0,2020-02-28
40,TWST,31.04,32.84,30.7287,32.16,506795.0,2020-03-02
41,TWST,31.99,32.8999,31.6535,32.58,538534.0,2020-03-03
42,TWST,33.16,34.27,32.35,33.16,546248.0,2020-03-04
43,TWST,32.67,34.82,32.6356,33.73,494207.0,2020-03-05
44,TWST,33.05,35.91,33.05,35.15,734806.0,2020-03-06
45,TWST,33.0,34.4,30.34,33.46,731763.0,2020-03-09
46,TWST,34.3,34.8759,29.38,30.71,635882.0,2020-03-10
47,TWST,30.32,31.81,27.65,28.2,817670.0,2020-03-11
48,TWST,28.0,28.0,23.01,24.06,919331.0,2020-03-12
49,TWST,25.0,26.22,23.12,25.6,660132.0,2020-03-13
50,TWST,22.0,24.22,19.75,19.75,738737.0,2020-03-16
51,TWST,20.15,23.05,18.52,22.38,887422.0,2020-03-17
52,TWST,21.57,22.363,19.5,19.71,824493.0,2020-03-18
53,TWST,19.68,22.8,19.68,22.67,750119.0,2020-03-19
54,TWST,23.03,24.5,21.995,23.97,1064960.0,2020-03-20
55,TWST,24.36,24.635,21.53,24.16,441469.0,2020-03-23
56,TWST,24.95,26.74,24.95,26.74,389281.0,2020-03-24
57,TWST,26.76,27.99,25.94,27.75,433538.0,2020-03-25
58,TWST,28.95,30.96,28.83,30.25,380420.0,2020-03-26
59,TWST,29.73,31.0,29.4,30.0,331213.0,2020-03-27
60,TWST,30.95,34.02,30.04,32.2,763478.0,2020-03-30
61,TWST,32.08,33.06,29.37,30.58,361244.0,2020-03-31
62,TWST,29.54,30.85,27.94,28.09,601621.0,2020-04-01
63,TWST,27.84,29.78,26.47,29.76,487502.0,2020-04-02
64,TWST,30.23,30.69,28.64,30.04,419895.0,2020-04-03
65,TWST,31.2,31.37,28.245,29.73,416985.0,2020-04-06
66,TWST,30.08,30.8949,26.12,26.4,408441.0,2020-04-07
67,TWST,26.6,27.54,26.1,27.43,486331.0,2020-04-08
68,TWST,26.86,28.45,26.26,26.9,320873.0,2020-04-09
69,TWST,26.88,27.445,25.72,26.51,367597.0,2020-04-13
70,TWST,27.25,28.57,26.45,27.34,444686.0,2020-04-14
71,TWST,26.93,28.47,26.0,27.8,297996.0,2020-04-15
72,TWST,27.93,30.775,27.93,29.84,352299.0,2020-04-16
73,TWST,30.62,31.3,29.7785,30.91,306824.0,2020-04-17
74,TWST,30.39,34.68,30.36,32.1,500232.0,2020-04-20
75,TWST,32.57,32.89,30.31,31.6,399447.0,2020-04-21
76,TWST,32.5,33.83,31.93,32.96,309337.0,2020-04-22
77,TWST,33.08,33.54,31.52,31.71,308023.0,2020-04-23
78,TWST,31.77,32.55,31.02,32.27,319510.0,2020-04-24
79,TWST,32.73,33.47,31.89,33.16,396255.0,2020-04-27
80,TWST,33.64,35.0,32.13,32.47,476960.0,2020-04-28
81,TWST,33.1,34.88,32.43,33.0,409910.0,2020-04-29
82,TWST,32.89,34.91,32.1,32.71,468195.0,2020-04-30
83,TWST,32.13,33.32,29.56,31.24,413293.0,2020-05-01
84,TWST,31.22,32.94,31.01,32.93,277819.0,2020-05-04
85,TWST,33.25,34.9,33.04,33.74,329309.0,2020-05-05
86,TWST,34.42,40.0,34.1657,37.22,788651.0,2020-05-06
87,TWST,38.43,39.33,36.31,36.67,584478.0,2020-05-07
88,TWST,36.48,40.39,35.48,39.13,532627.0,2020-05-08
89,TWST,38.93,40.075,38.19,39.21,600574.0,2020-05-11
90,TWST,39.0,40.15,38.3544,38.94,591578.0,2020-05-12
91,TWST,38.84,40.02,35.65,38.12,419703.0,2020-05-13
92,TWST,37.63,38.97,36.56,38.4,270453.0,2020-05-14
93,TWST,38.27,40.26,37.5815,40.04,560325.0,2020-05-15
94,TWST,40.9,42.0,39.5,41.46,559684.0,2020-05-18
95,TWST,41.05,42.17,40.13,40.2,385480.0,2020-05-19
96,TWST,41.07,41.07,38.91,39.76,298687.0,2020-05-20
97,TWST,39.71,40.15,37.36,39.39,354830.0,2020-05-21
98,TWST,39.37,39.7768,38.3,39.45,222051.0,2020-05-22
99,TWST,39.91,40.44,37.29,37.42,394470.0,2020-05-26
100,TWST,37.25,38.9999,34.16,37.91,726255.0,2020-05-27
101,TWST,37.57,38.42,35.515,35.82,429249.0,2020-05-28
102,TWST,36.0,38.03,35.2523,37.95,511703.0,2020-05-29
103,TWST,38.12,40.15,37.22,40.0,653340.0,2020-06-01
104,TWST,39.76,40.47,38.6,38.93,455450.0,2020-06-02
105,TWST,38.73,39.57,36.65,37.07,704439.0,2020-06-03
106,TWST,36.72,38.24,36.55,36.86,2945600.0,2020-06-04
107,TWST,37.25,39.32,36.68,37.48,927435.0,2020-06-05
108,TWST,37.61,38.415,37.11,37.55,405456.0,2020-06-08
109,TWST,37.71,39.81,37.38,39.06,567198.0,2020-06-09
110,TWST,39.37,40.87,38.24,38.96,363335.0,2020-06-10
111,TWST,37.49,38.7,35.5,36.01,515210.0,2020-06-11
112,TWST,36.77,37.39,35.8,36.86,393899.0,2020-06-12
113,TWST,36.46,39.48,36.36,38.98,427658.0,2020-06-15
114,TWST,39.32,39.415,38.1,38.54,386074.0,2020-06-16
115,TWST,38.87,39.42,37.99,39.11,357207.0,2020-06-17
116,TWST,39.07,41.92,39.07,40.55,483828.0,2020-06-18
117,TWST,40.36,41.355,38.7901,39.21,1469467.0,2020-06-19
118,TWST,39.38,41.95,38.37,41.93,569699.0,2020-06-22
119,TWST,42.0,44.6222,41.66,43.81,610079.0,2020-06-23
120,TWST,44.0,45.0,41.2,41.33,471872.0,2020-06-24
121,TWST,40.89,42.94,40.01,42.57,404107.0,2020-06-25
122,TWST,42.58,42.85,40.4,40.74,1019698.0,2020-06-26
123,TWST,41.08,42.78,40.17,42.01,404367.0,2020-06-29
124,TWST,42.08,45.635,42.08,45.3,669850.0,2020-06-30
125,TWST,45.5,46.28,43.605,45.46,381366.0,2020-07-01
126,TWST,46.04,46.87,45.02,46.16,353063.0,2020-07-02
127,TWST,46.7,46.83,45.5,46.69,347094.0,2020-07-06
128,TWST,46.66,49.06,46.26,48.81,536481.0,2020-07-07
129,TWST,49.55,55.3599,49.19,54.58,698228.0,2020-07-08
130,TWST,54.59,57.33,54.41,56.23,465464.0,2020-07-09
131,TWST,56.0,57.13,54.36,54.71,375208.0,2020-07-10
132,TWST,55.0,57.24,50.605,51.59,646528.0,2020-07-13
133,TWST,51.84,53.56,49.83,53.37,547671.0,2020-07-14
134,TWST,55.1,57.78,53.68,55.65,582105.0,2020-07-15
135,TWST,55.31,55.59,51.83,52.63,610672.0,2020-07-16
136,TWST,52.67,55.415,52.093,54.5,452932.0,2020-07-17
137,TWST,54.82,56.59,54.415,56.34,411386.0,2020-07-20
138,TWST,57.0,60.96,56.63,58.74,563673.0,2020-07-21
139,TWST,58.81,60.375,57.41,59.12,263585.0,2020-07-22
140,TWST,60.08,60.9599,56.72,56.96,330119.0,2020-07-23
141,TWST,55.8,56.0,52.85,54.64,347542.0,2020-07-24
142,TWST,55.34,59.33,54.92,58.63,507725.0,2020-07-27
143,TWST,59.45,59.96,57.31,58.47,537688.0,2020-07-28
144,TWST,59.21,60.04,57.19,57.59,305819.0,2020-07-29
145,TWST,57.8,58.96,56.77,57.85,279140.0,2020-07-30
146,TWST,58.45,58.87,54.38,56.04,377190.0,2020-07-31
147,TWST,56.67,60.08,56.57,58.98,541577.0,2020-08-03
148,TWST,60.0,62.79,58.58,62.29,452666.0,2020-08-04
149,TWST,63.89,67.005,63.11,66.45,431980.0,2020-08-05
150,TWST,67.68,68.1,64.72,65.7,741601.0,2020-08-06
151,TWST,66.38,71.71,60.5,61.66,798820.0,2020-08-07
152,TWST,61.63,63.61,59.71,59.765,423786.0,2020-08-10
153,TWST,58.15,58.73,54.89,55.6,586374.0,2020-08-11
154,TWST,54.55,64.62,53.81,62.07,1444894.0,2020-08-12
155,TWST,64.03,65.8699,61.5,65.11,701687.0,2020-08-13
156,TWST,66.0,67.0,64.5,66.3,348953.0,2020-08-14
157,TWST,66.98,70.84,65.545,70.56,465037.0,2020-08-17
158,TWST,69.9,70.64,67.03,69.63,811950.0,2020-08-18
159,TWST,70.31,70.42,64.29,65.15,758596.0,2020-08-19
160,TWST,65.0,67.54,64.6,67.28,358311.0,2020-08-20
161,TWST,67.19,68.41,66.61,67.92,616643.0,2020-08-21
162,TWST,68.0,68.1,64.71,66.29,312530.0,2020-08-24
163,TWST,67.38,68.19,65.38,67.91,238587.0,2020-08-25
164,TWST,68.0,69.34,67.65,67.93,233263.0,2020-08-26
165,TWST,68.55,68.62,65.97,67.89,277583.0,2020-08-27
166,TWST,66.65,68.96,66.01,68.95,272055.0,2020-08-28
167,TWST,70.0,70.598,69.34,69.93,397301.0,2020-08-31
168,TWST,69.94,71.97,68.23,71.72,404145.0,2020-09-01
169,TWST,71.61,71.99,67.48,70.5,682255.0,2020-09-02
170,TWST,69.42,69.43,66.1,67.34,685819.0,2020-09-03
171,TWST,67.14,67.34,60.2801,63.27,825365.0,2020-09-04
172,TWST,59.3,65.62,59.3,62.77,657827.0,2020-09-08
173,TWST,63.82,67.43,63.82,65.97,490485.0,2020-09-09
174,TWST,66.19,68.44,61.7,63.04,448933.0,2020-09-10
175,TWST,64.09,65.44,61.14,62.51,339931.0,2020-09-11
176,TWST,63.86,65.82,63.84,64.88,462258.0,2020-09-14
177,TWST,65.7,66.04,60.33,61.72,516269.0,2020-09-15
178,TWST,61.87,64.32,61.87,62.97,598530.0,2020-09-16
179,TWST,60.75,64.86,59.26,64.77,857041.0,2020-09-17
180,TWST,65.21,68.18,63.65,67.81,1505676.0,2020-09-18
181,TWST,66.47,67.659,64.6,66.99,662907.0,2020-09-21
182,TWST,67.07,67.84,64.26,66.72,721715.0,2020-09-22
183,TWST,66.72,70.92,64.59,64.71,700235.0,2020-09-23
184,TWST,63.84,66.59,62.37,66.49,436551.0,2020-09-24
185,TWST,67.43,72.75,66.12,72.64,490422.0,2020-09-25
186,TWST,73.25,75.2399,70.945,75.02,471605.0,2020-09-28
187,TWST,75.59,79.72,75.01,78.79,781894.0,2020-09-29
188,TWST,78.2135,78.955,72.8001,75.97,805278.0,2020-09-30
189,TWST,76.61,78.74,74.66,77.87,413519.0,2020-10-01
190,TWST,76.41,78.02,74.25,77.31,369184.0,2020-10-02
191,TWST,78.25,82.48,78.14,82.34,546705.0,2020-10-05
192,TWST,82.8,87.415,81.04,85.11,881696.0,2020-10-06
193,TWST,86.27,90.98,86.11,87.46,685064.0,2020-10-07
194,TWST,89.58,89.58,85.9201,86.97,915640.0,2020-10-08
195,TWST,86.63,92.0,86.3,89.64,437443.0,2020-10-09
196,TWST,92.16,92.93,86.82,90.33,592658.0,2020-10-12
197,TWST,92.04,93.54,90.13,92.81,616145.0,2020-10-13
198,TWST,93.0,94.41,90.0,90.2,401013.0,2020-10-14
199,TWST,89.29,100.0,87.4538,99.89,689543.0,2020-10-15
200,TWST,100.0,100.3,94.8917,94.92,716151.0,2020-10-16
201,TWST,97.23,99.8,92.5,93.0,694467.0,2020-10-19
202,TWST,92.88,94.5,88.57,88.76,627445.0,2020-10-20
203,TWST,88.45,90.34,85.7,86.23,553010.0,2020-10-21
204,TWST,87.89,87.89,83.195,87.06,775050.0,2020-10-22
205,TWST,87.24,91.33,85.09,85.97,581664.0,2020-10-23
206,TWST,84.3,88.98,81.64,82.58,461459.0,2020-10-26
207,TWST,83.91,85.29,82.31,83.58,368808.0,2020-10-27
208,TWST,82.21,83.64,78.08,79.55,374478.0,2020-10-28
209,TWST,79.01,80.16,76.34,79.36,469141.0,2020-10-29
210,TWST,79.0,79.47,74.25,76.64,371009.0,2020-10-30
211,TWST,76.43,80.18,76.0,79.37,321786.0,2020-11-02
212,TWST,80.39,87.25,80.3301,86.3,447476.0,2020-11-03
213,TWST,87.41,90.64,87.05,89.93,571013.0,2020-11-04
214,TWST,92.99,98.8,92.045,96.6,739791.0,2020-11-05
215,TWST,96.43,100.11,93.12,99.61,293110.0,2020-11-06
216,TWST,99.91,100.91,87.09,95.73,819183.0,2020-11-09
217,TWST,97.2,97.24,92.43,96.23,541782.0,2020-11-10
218,TWST,97.85,103.5,97.27,102.16,455122.0,2020-11-11
219,TWST,102.9,107.99,102.28,106.0,628840.0,2020-11-12
220,TWST,107.2,111.35,106.4801,107.36,363387.0,2020-11-13
221,TWST,106.04,108.3685,102.64,104.05,380257.0,2020-11-16
222,TWST,103.62,108.7198,102.02,108.5,277451.0,2020-11-17
223,TWST,109.44,113.47,108.59,110.9,541216.0,2020-11-18
224,TWST,111.71,115.9,110.17,114.5,470933.0,2020-11-19
225,TWST,114.36,117.695,110.62,115.56,477191.0,2020-11-20
226,TWST,110.0,121.4,109.0,117.19,1088500.0,2020-11-23
227,TWST,120.75,120.75,103.8001,104.17,595260.0,2020-11-24
228,TWST,104.25,107.786,98.39,99.64,600678.0,2020-11-25
229,TWST,99.9,114.81,99.9,114.67,346893.0,2020-11-27
230,TWST,116.62,116.62,104.8,111.74,628598.0,2020-11-30
231,TWST,112.44,120.48,111.34,118.1,481984.0,2020-12-01
232,TWST,114.7,117.4396,108.52,115.07,652021.0,2020-12-02
233,TWST,112.98,123.992,112.49,122.34,1403873.0,2020-12-03
234,TWST,123.66,132.97,123.4119,128.58,1140529.0,2020-12-04
235,TWST,130.68,135.25,129.26,131.45,843777.0,2020-12-07
