,ticker,open,high,low,close,volume,timestamp
0,TRVI,3.74,3.75,3.6544,3.75,2199.0,2020-01-02
1,TRVI,3.74,5.3005,3.73,4.2838,57522.0,2020-01-03
2,TRVI,4.49,4.8858,4.0281,4.372,20944.0,2020-01-06
3,TRVI,4.46,4.6,4.3,4.3759,4579.0,2020-01-07
4,TRVI,4.48,4.5868,4.2396,4.41,6350.0,2020-01-08
5,TRVI,4.56,5.1697,4.49,5.1697,74877.0,2020-01-09
6,TRVI,5.25,5.37,5.0,5.23,10406.0,2020-01-10
7,TRVI,5.35,5.6819,5.2,5.2,15819.0,2020-01-13
8,TRVI,5.4,5.6603,4.55,5.01,14080.0,2020-01-14
9,TRVI,5.25,5.6731,4.7272,5.3,12475.0,2020-01-15
10,TRVI,5.0979,5.35,5.0979,5.35,3283.0,2020-01-16
11,TRVI,5.37,5.3881,5.03,5.33,5820.0,2020-01-17
12,TRVI,5.1,5.23,5.0001,5.2,5736.0,2020-01-21
13,TRVI,5.0252,5.17,5.024,5.17,1212.0,2020-01-22
14,TRVI,4.96,5.09,4.6205,4.99,6957.0,2020-01-23
15,TRVI,5.18,5.18,4.7182,5.18,10651.0,2020-01-24
16,TRVI,4.84,5.23,4.84,4.86,1889.0,2020-01-27
17,TRVI,5.14,5.14,5.14,5.14,360.0,2020-01-28
18,TRVI,5.08,5.37,4.7277,5.34,7263.0,2020-01-29
19,TRVI,5.0323,5.25,4.7943,5.25,3338.0,2020-01-30
20,TRVI,5.03,5.14,4.78,4.98,10278.0,2020-01-31
21,TRVI,4.85,4.88,4.6298,4.67,2545.0,2020-02-03
22,TRVI,4.8755,4.8755,4.6495,4.6495,1691.0,2020-02-04
23,TRVI,4.89,5.38,4.89,5.38,1204.0,2020-02-05
24,TRVI,5.11,5.2579,5.11,5.2579,900.0,2020-02-06
25,TRVI,5.31,5.31,5.0468,5.31,1256.0,2020-02-10
26,TRVI,5.1466,5.22,5.0033,5.22,781.0,2020-02-11
27,TRVI,5.36,5.38,4.82,5.0413,4689.0,2020-02-12
28,TRVI,5.22,5.5,5.22,5.5,1523.0,2020-02-13
29,TRVI,5.0443,5.2,5.0443,5.16,1321.0,2020-02-14
30,TRVI,5.15,5.3867,5.15,5.2,1750.0,2020-02-18
31,TRVI,5.9,5.9,5.47,5.5634,3452.0,2020-02-19
32,TRVI,5.5,5.73,5.5,5.73,2760.0,2020-02-20
33,TRVI,5.85,5.89,5.41,5.5,4341.0,2020-02-21
34,TRVI,5.9,5.9,5.51,5.8659,7051.0,2020-02-24
35,TRVI,5.81,5.81,5.253,5.73,3276.0,2020-02-25
36,TRVI,5.05,5.8,5.05,5.8,13178.0,2020-02-26
37,TRVI,5.5,5.5,5.12,5.5,4199.0,2020-02-27
38,TRVI,5.1033,5.19,4.62,5.19,4477.0,2020-02-28
39,TRVI,5.04,5.04,4.939,4.94,858.0,2020-03-03
40,TRVI,5.0061,5.0061,5.0061,5.0061,329.0,2020-03-04
41,TRVI,4.57,4.63,4.57,4.63,774.0,2020-03-05
42,TRVI,4.93,5.13,4.93,5.0,2475.0,2020-03-06
43,TRVI,4.9,4.9,4.0101,4.665,1685.0,2020-03-09
44,TRVI,4.2,4.2,3.8594,3.9,1600.0,2020-03-10
45,TRVI,3.4,3.51,3.16,3.2,2209.0,2020-03-11
46,TRVI,2.06,3.52,2.06,3.35,11096.0,2020-03-12
47,TRVI,3.0327,3.0327,2.44,2.5,18058.0,2020-03-13
48,TRVI,3.1807,4.39,3.0797,3.7076,17162.0,2020-03-16
49,TRVI,3.72,5.52,3.72,4.09,47345.0,2020-03-17
50,TRVI,4.17,4.551,2.01,3.2454,17293.0,2020-03-18
51,TRVI,3.65,4.3954,3.65,3.73,11218.0,2020-03-19
52,TRVI,3.73,3.7478,2.803,2.97,4217.0,2020-03-20
53,TRVI,3.3,3.3,2.33,2.36,15717.0,2020-03-23
54,TRVI,2.01,2.8205,2.01,2.59,4336.0,2020-03-24
55,TRVI,2.464,2.71,2.3357,2.63,10134.0,2020-03-25
56,TRVI,2.98,2.98,2.2311,2.637,8214.0,2020-03-26
57,TRVI,2.26,2.6299,2.25,2.3,5064.0,2020-03-27
58,TRVI,2.4465,2.95,1.33,1.71,97343.0,2020-03-30
59,TRVI,2.19,6.0,1.95,3.29,3334815.0,2020-03-31
60,TRVI,2.75,3.53,2.5,3.14,227251.0,2020-04-01
61,TRVI,2.92,3.22,2.6501,2.66,55571.0,2020-04-02
62,TRVI,3.19,3.48,2.5,2.7,32048.0,2020-04-03
63,TRVI,3.17,3.17,2.56,2.65,24513.0,2020-04-06
64,TRVI,2.7,2.8,2.4,2.6799,26900.0,2020-04-07
65,TRVI,2.74,2.825,2.4,2.5913,23717.0,2020-04-08
66,TRVI,2.5101,2.76,2.5,2.7,37875.0,2020-04-09
67,TRVI,2.73,2.78,2.5576,2.72,21664.0,2020-04-13
68,TRVI,2.9,3.04,2.77,2.99,27264.0,2020-04-14
69,TRVI,3.08,3.1,2.8,2.855,19604.0,2020-04-15
70,TRVI,2.99,2.99,2.6,2.65,22323.0,2020-04-16
71,TRVI,2.86,2.89,2.6,2.72,48835.0,2020-04-17
72,TRVI,2.88,2.88,2.61,2.7499,18276.0,2020-04-20
73,TRVI,2.73,2.78,2.67,2.74,16620.0,2020-04-21
74,TRVI,2.7,2.7362,2.6,2.64,25077.0,2020-04-22
75,TRVI,2.64,2.75,2.6,2.7,25118.0,2020-04-23
76,TRVI,2.8,2.9795,2.7292,2.88,61469.0,2020-04-24
77,TRVI,2.79,2.94,2.7122,2.93,30530.0,2020-04-27
78,TRVI,3.008,3.03,2.79,2.93,46729.0,2020-04-28
79,TRVI,2.9,3.03,2.72,2.86,37735.0,2020-04-29
80,TRVI,2.95,2.9797,2.85,2.87,17034.0,2020-04-30
81,TRVI,2.96,2.96,2.61,2.69,22360.0,2020-05-01
82,TRVI,2.87,2.9,2.5,2.51,30125.0,2020-05-04
83,TRVI,2.51,2.82,2.51,2.71,13106.0,2020-05-05
84,TRVI,2.82,2.9,2.6,2.65,14282.0,2020-05-06
85,TRVI,2.6,2.7112,2.6,2.665,24163.0,2020-05-07
86,TRVI,2.6992,2.75,2.645,2.65,12771.0,2020-05-08
87,TRVI,2.65,2.84,2.65,2.79,28246.0,2020-05-11
88,TRVI,2.87,2.87,2.78,2.85,33441.0,2020-05-12
