,ticker,open,high,low,close,volume,timestamp
0,PNRG,150.4,152.85,150.4,152.85,1851,2020-01-02
1,PNRG,154.38,154.38,149.5,149.5,2704,2020-01-03
2,PNRG,149.67,149.67,146.1925,148.0,1550,2020-01-06
3,PNRG,145.51,150.9,145.301,148.21,3962,2020-01-07
4,PNRG,146.6,149.4,145.38,148.28,4455,2020-01-08
5,PNRG,149.8,149.8,148.29,148.5,1170,2020-01-09
6,PNRG,149.0,151.0,148.0,148.7,1846,2020-01-10
7,PNRG,148.94,149.3,148.75,149.3,1159,2020-01-13
8,PNRG,149.76,151.28,148.1,148.53,1553,2020-01-15
9,PNRG,148.84,148.84,148.84,148.84,372,2020-01-16
10,PNRG,146.61,148.83,146.609,148.83,914,2020-01-17
11,PNRG,148.33,148.33,146.71,146.71,1550,2020-01-21
12,PNRG,147.75,148.58,147.75,148.27,708,2020-01-22
13,PNRG,147.61,152.56,147.61,152.12,2328,2020-01-23
14,PNRG,149.19,149.5,149.19,149.5,1090,2020-01-24
15,PNRG,146.69,147.59,145.3,145.3,1025,2020-01-27
16,PNRG,146.66,149.4,146.66,148.65,1995,2020-01-28
17,PNRG,149.3,149.3,149.15,149.15,386,2020-01-29
18,PNRG,148.8,148.8,148.8,148.8,634,2020-01-30
19,PNRG,145.7,145.7,145.65,145.65,453,2020-01-31
20,PNRG,148.5,148.5,147.13,147.13,825,2020-02-03
21,PNRG,148.1,148.1,148.01,148.01,542,2020-02-04
22,PNRG,145.13,146.61,137.19,138.31,5572,2020-02-06
23,PNRG,139.7,139.7,139.7,139.7,486,2020-02-07
24,PNRG,138.26,138.26,138.26,138.26,371,2020-02-10
25,PNRG,139.75,139.75,139.75,139.75,173,2020-02-12
26,PNRG,140.75,140.89,140.43,140.89,843,2020-02-13
27,PNRG,140.0,140.0,140.0,140.0,246,2020-02-14
28,PNRG,140.0,140.0,140.0,140.0,419,2020-02-19
29,PNRG,141.0,141.0,138.0,139.0,1819,2020-02-20
30,PNRG,141.5,141.5,140.0,140.0,617,2020-02-21
31,PNRG,135.68,135.68,135.68,135.68,503,2020-02-24
32,PNRG,130.0,130.0,130.0,130.0,501,2020-02-26
33,PNRG,130.0,130.05,130.0,130.0,1434,2020-02-27
34,PNRG,139.02,139.02,131.0,131.0,622,2020-02-28
35,PNRG,139.63,141.8,137.5,141.8,850,2020-03-02
36,PNRG,134.71,134.71,134.71,134.71,328,2020-03-03
37,PNRG,137.99,137.99,137.99,137.99,1166,2020-03-04
38,PNRG,134.3,134.3,134.3,134.3,489,2020-03-05
39,PNRG,134.0,134.0,128.93,128.93,593,2020-03-06
40,PNRG,116.4,116.4,90.54,90.54,3060,2020-03-09
41,PNRG,84.15,88.0,84.15,87.2,1444,2020-03-10
42,PNRG,76.26,76.455,73.28,73.28,1184,2020-03-11
43,PNRG,71.84,71.84,64.66,64.66,975,2020-03-12
44,PNRG,60.14,65.0,59.23,59.23,1463,2020-03-13
45,PNRG,52.1,52.1,52.1,52.1,666,2020-03-16
46,PNRG,57.0,57.0,57.0,57.0,821,2020-03-17
47,PNRG,48.05,48.05,48.05,48.05,525,2020-03-18
48,PNRG,49.9,49.9,49.9,49.9,728,2020-03-19
49,PNRG,49.58,49.58,49.58,49.58,1381,2020-03-20
50,PNRG,47.68,47.68,47.68,47.68,185,2020-03-23
51,PNRG,52.0,60.45,49.61,60.45,1619,2020-03-24
52,PNRG,63.47,63.47,63.47,63.47,431,2020-03-25
53,PNRG,67.8,67.8,67.8,67.8,229,2020-03-26
54,PNRG,70.28,75.57,68.02,68.02,2308,2020-03-27
55,PNRG,67.38,75.7,67.38,75.7,16273,2020-03-30
56,PNRG,74.0,74.0,74.0,74.0,578,2020-03-31
57,PNRG,69.5,69.5,58.78,63.0,5976,2020-04-01
58,PNRG,67.0,78.5,67.0,72.3,7320,2020-04-02
59,PNRG,76.0,76.0,75.0,75.0,654,2020-04-03
60,PNRG,81.0,85.22,80.0,82.61,1836,2020-04-06
61,PNRG,87.18,88.15,80.72,81.59,1510,2020-04-07
