,ticker,open,high,low,close,volume,timestamp
0,ARMN,2.75,2.78,2.2,2.53,187033.0,2023-09-14
1,ARMN,2.57,2.57,2.4701,2.54,271082.0,2023-09-15
2,ARMN,2.54,2.6,2.5003,2.56,43602.0,2023-09-18
3,ARMN,2.56,2.56,2.43,2.43,88394.0,2023-09-19
4,ARMN,2.43,2.5,2.3474,2.47,27493.0,2023-09-20
5,ARMN,2.41,2.4673,2.38,2.395,74295.0,2023-09-21
6,ARMN,2.4118,2.4834,2.33,2.3501,27735.0,2023-09-22
7,ARMN,2.33,2.36,2.2534,2.34,52034.0,2023-09-25
8,ARMN,2.33,2.33,2.24,2.3,40122.0,2023-09-26
9,ARMN,2.27,2.2999,2.2,2.26,80053.0,2023-09-27
10,ARMN,2.2,2.28,2.19,2.28,43719.0,2023-09-28
11,ARMN,2.2877,2.35,2.2501,2.27,30213.0,2023-09-29
12,ARMN,2.4,2.59,2.1701,2.59,80229.0,2023-10-02
13,ARMN,2.4,2.4,2.16,2.21,133683.0,2023-10-03
14,ARMN,2.26,2.26,2.2,2.25,44268.0,2023-10-04
15,ARMN,2.2,2.29,2.2,2.23,32522.0,2023-10-05
16,ARMN,2.27,2.33,2.245,2.33,26155.0,2023-10-06
17,ARMN,2.39,2.4799,2.16,2.43,20075.0,2023-10-09
18,ARMN,2.4205,2.43,2.37,2.42,28453.0,2023-10-10
19,ARMN,2.42,2.4999,2.355,2.4,39693.0,2023-10-11
20,ARMN,2.42,2.43,2.31,2.38,16632.0,2023-10-12
21,ARMN,2.33,2.5299,2.33,2.49,34986.0,2023-10-13
22,ARMN,2.42,2.47,2.406,2.45,16371.0,2023-10-16
23,ARMN,2.5,2.524,2.47,2.51,16996.0,2023-10-17
24,ARMN,2.553,2.59,2.5,2.51,31328.0,2023-10-18
25,ARMN,2.61,2.61,2.44,2.49,10442.0,2023-10-19
26,ARMN,2.5,2.57,2.5,2.52,41977.0,2023-10-20
27,ARMN,2.53,2.53,2.44,2.51,17008.0,2023-10-23
28,ARMN,2.4257,2.51,2.4257,2.46,8107.0,2023-10-24
29,ARMN,2.47,2.53,2.44,2.49,20465.0,2023-10-25
30,ARMN,2.37,2.4525,2.35,2.41,41363.0,2023-10-26
31,ARMN,2.4719,2.54,2.361,2.53,25481.0,2023-10-27
32,ARMN,2.53,2.56,2.5,2.54,14741.0,2023-10-30
33,ARMN,2.56,2.56,2.47,2.5,5733.0,2023-10-31
34,ARMN,2.4525,2.5,2.45,2.455,7721.0,2023-11-01
35,ARMN,2.5,2.55,2.495,2.495,33932.0,2023-11-02
36,ARMN,2.58,2.7,2.5647,2.68,56075.0,2023-11-03
37,ARMN,2.65,2.7427,2.62,2.62,26486.0,2023-11-06
38,ARMN,2.5476,2.56,2.51,2.54,31761.0,2023-11-07
39,ARMN,2.41,2.54,2.41,2.5,28289.0,2023-11-08
40,ARMN,2.74,2.74,2.455,2.46,35554.0,2023-11-09
41,ARMN,2.44,2.45,2.4,2.44,40985.0,2023-11-10
42,ARMN,2.42,2.42,2.33,2.345,110049.0,2023-11-13
43,ARMN,2.32,2.47,2.32,2.47,47155.0,2023-11-14
44,ARMN,2.43,2.48,2.42,2.46,17490.0,2023-11-15
45,ARMN,2.51,2.54,2.46,2.5,67524.0,2023-11-16
46,ARMN,2.5,2.58,2.45,2.53,48739.0,2023-11-17
47,ARMN,2.57,2.62,2.53,2.56,71887.0,2023-11-20
48,ARMN,2.62,2.66,2.56,2.57,122241.0,2023-11-21
49,ARMN,2.67,2.7,2.58,2.6928,29626.0,2023-11-22
50,ARMN,2.75,2.895,2.67,2.89,55315.0,2023-11-24
51,ARMN,2.99,3.15,2.92,3.09,377434.0,2023-11-27
52,ARMN,3.41,3.41,3.09,3.22,309157.0,2023-11-28
53,ARMN,3.45,3.45,3.0926,3.23,274647.0,2023-11-29
54,ARMN,3.25,3.25,3.13,3.17,146365.0,2023-11-30
55,ARMN,3.25,3.275,3.12,3.22,229302.0,2023-12-01
56,ARMN,3.19,3.2075,3.1,3.17,94380.0,2023-12-04
57,ARMN,3.17,3.26,3.12,3.17,80278.0,2023-12-05
58,ARMN,3.17,3.39,3.17,3.27,219363.0,2023-12-06
59,ARMN,3.35,3.35,3.12,3.21,159209.0,2023-12-07
60,ARMN,3.13,3.23,3.05,3.12,203477.0,2023-12-08
61,ARMN,3.11,3.11,2.941,3.0,112337.0,2023-12-11
62,ARMN,2.96,2.96,2.8825,2.9,219717.0,2023-12-12
63,ARMN,2.89,3.14,2.88,3.14,108644.0,2023-12-13
64,ARMN,3.2,3.2798,3.09,3.14,126216.0,2023-12-14
65,ARMN,3.14,3.19,3.07,3.11,70462.0,2023-12-15
66,ARMN,3.15,3.18,3.13,3.13,123827.0,2023-12-18
67,ARMN,3.17,3.3,3.17,3.23,121258.0,2023-12-19
68,ARMN,3.29,3.39,3.25,3.3,148528.0,2023-12-20
69,ARMN,3.34,3.41,3.3,3.34,82729.0,2023-12-21
70,ARMN,3.4,3.46,3.35,3.37,135289.0,2023-12-22
71,ARMN,3.38,3.47,3.37,3.47,57641.0,2023-12-26
72,ARMN,3.46,3.53,3.37,3.45,159228.0,2023-12-27
73,ARMN,3.53,3.5399,3.35,3.38,89180.0,2023-12-28
74,ARMN,3.33,3.33,3.22,3.285,105543.0,2023-12-29
75,ARMN,3.3,3.4,3.25,3.385,91886.0,2024-01-02
76,ARMN,3.33,3.38,3.25,3.2905,88985.0,2024-01-03
77,ARMN,3.29,3.35,3.251,3.3,64216.0,2024-01-04
78,ARMN,3.29,3.395,3.26,3.26,90096.0,2024-01-05
79,ARMN,3.24,3.24,3.18,3.195,55992.0,2024-01-08
80,ARMN,3.24,3.24,3.14,3.18,189367.0,2024-01-09
81,ARMN,3.195,3.24,3.17,3.21,116958.0,2024-01-10
82,ARMN,3.24,3.24,3.1,3.21,50389.0,2024-01-11
83,ARMN,3.29,3.44,3.275,3.325,142949.0,2024-01-12
84,ARMN,3.33,3.33,3.0,3.03,156418.0,2024-01-16
85,ARMN,3.0,3.0,2.85,2.905,176835.0,2024-01-17
86,ARMN,2.92,2.94,2.905,2.91,60327.0,2024-01-18
87,ARMN,2.92,2.92,2.8,2.84,143127.0,2024-01-19
88,ARMN,2.85,2.86,2.73,2.86,88346.0,2024-01-22
89,ARMN,2.9,2.94,2.85,2.92,103171.0,2024-01-23
90,ARMN,2.95,2.96,2.82,2.855,71298.0,2024-01-24
91,ARMN,2.86,2.915,2.86,2.9,41189.0,2024-01-25
92,ARMN,2.89,2.92,2.87,2.88,35425.0,2024-01-26
93,ARMN,2.89,2.99,2.89,2.96,120801.0,2024-01-29
94,ARMN,3.0,3.08,2.981,3.07,338930.0,2024-01-30
95,ARMN,2.6,3.2399,2.6,3.11,244214.0,2024-01-31
96,ARMN,3.18,3.21,3.09,3.21,68220.0,2024-02-01
97,ARMN,3.19,3.19,3.07,3.125,91127.0,2024-02-02
98,ARMN,3.15,3.15,3.01,3.1,83636.0,2024-02-05
99,ARMN,3.0594,3.1,3.04,3.08,79081.0,2024-02-06
100,ARMN,3.04,3.15,3.04,3.1,86948.0,2024-02-07
101,ARMN,3.07,3.11,3.06,3.07,59147.0,2024-02-08
102,ARMN,3.04,3.05,2.9301,2.97,56907.0,2024-02-09
103,ARMN,3.11,3.11,2.95,3.025,42697.0,2024-02-12
104,ARMN,3.0,3.0,2.84,2.85,83810.0,2024-02-13
105,ARMN,2.86,2.92,2.82,2.87,32998.0,2024-02-14
106,ARMN,2.98,3.01,2.9,2.945,109846.0,2024-02-15
107,ARMN,2.94,3.0,2.9,2.96,61105.0,2024-02-16
108,ARMN,2.96,2.96,2.8624,2.94,63433.0,2024-02-20
109,ARMN,2.99,2.99,2.87,2.89,28841.0,2024-02-21
110,ARMN,2.9,2.9,2.83,2.855,99401.0,2024-02-22
