,ticker,open,high,low,close,volume,timestamp
0,NPWR,12.03,14.75,11.89,14.61,1715522.0,2023-06-09
1,NPWR,14.86,17.19,14.77,16.29,1703789.0,2023-06-12
2,NPWR,16.35,16.35,14.66,14.83,934331.0,2023-06-13
3,NPWR,14.86,14.86,13.34,13.62,537271.0,2023-06-14
4,NPWR,13.75,13.7903,12.44,12.73,554020.0,2023-06-15
5,NPWR,12.59,12.9,11.2588,11.93,574586.0,2023-06-16
6,NPWR,11.68,12.62,11.6001,12.44,484474.0,2023-06-20
7,NPWR,12.5,12.74,11.805,12.08,252651.0,2023-06-21
8,NPWR,12.36,12.36,11.4,12.34,378863.0,2023-06-22
9,NPWR,12.09,12.5,11.785,12.27,345326.0,2023-06-23
10,NPWR,12.24,12.75,11.66,12.69,268960.0,2023-06-26
11,NPWR,12.7,14.02,12.61,13.79,492570.0,2023-06-27
12,NPWR,13.79,14.58,13.31,13.5,402201.0,2023-06-28
13,NPWR,13.79,14.4,13.005,13.85,493341.0,2023-06-29
14,NPWR,13.93,13.96,12.4,13.0,517515.0,2023-06-30
15,NPWR,13.02,13.15,12.6,12.98,85558.0,2023-07-03
16,NPWR,12.72,12.75,11.76,12.52,361966.0,2023-07-05
17,NPWR,12.32,12.79,11.75,12.72,301002.0,2023-07-06
18,NPWR,12.55,12.55,11.8,12.36,324694.0,2023-07-07
19,NPWR,12.16,12.2,11.35,11.95,520243.0,2023-07-10
20,NPWR,11.82,12.2396,11.59,12.23,235026.0,2023-07-11
21,NPWR,12.2,12.72,11.91,12.61,210331.0,2023-07-12
22,NPWR,12.61,12.63,12.07,12.33,169903.0,2023-07-13
23,NPWR,13.4,13.44,12.24,12.94,359551.0,2023-07-14
24,NPWR,12.9,13.44,12.6001,13.33,311989.0,2023-07-17
25,NPWR,13.29,13.35,12.63,12.76,277985.0,2023-07-18
26,NPWR,12.71,13.11,12.41,12.52,173368.0,2023-07-19
27,NPWR,12.54,12.82,12.3,12.67,179402.0,2023-07-20
28,NPWR,12.75,13.085,12.3274,13.04,182910.0,2023-07-21
