,ticker,open,high,low,close,volume,timestamp
0,BZFD,43.8,59.08,32.0,34.24,1082337.25,2021-12-06
1,BZFD,34.8,36.2,30.24,31.4,348969.25,2021-12-07
2,BZFD,32.0,32.2796,30.28,30.72,115221.0,2021-12-08
3,BZFD,30.6,31.32,23.08,23.48,388021.75,2021-12-09
4,BZFD,24.0,25.328,22.24,24.28,303903.5,2021-12-10
5,BZFD,24.84,27.08,24.04,25.0,421385.5,2021-12-13
6,BZFD,25.0,25.348,22.64,23.08,132603.0,2021-12-14
7,BZFD,23.12,25.04,22.04,25.04,240359.75,2021-12-15
8,BZFD,25.08,25.48,23.8,24.84,168538.25,2021-12-16
9,BZFD,24.32,25.08,24.0,24.72,232323.75,2021-12-17
10,BZFD,24.04,24.48,23.404,24.28,163381.75,2021-12-20
11,BZFD,24.36,24.52,22.32,23.68,198150.25,2021-12-21
12,BZFD,23.52,23.674,21.36,22.16,113109.0,2021-12-22
13,BZFD,21.68,22.2,21.2,22.12,77264.5,2021-12-23
14,BZFD,22.44,22.48,20.64,21.88,85503.75,2021-12-27
15,BZFD,21.24,22.32,20.88,22.16,66214.0,2021-12-28
16,BZFD,22.36,22.56,21.18,22.32,50814.5,2021-12-29
17,BZFD,22.12,22.12,21.0,21.16,55399.5,2021-12-30
18,BZFD,20.96,21.96,20.44,21.32,95183.25,2021-12-31
19,BZFD,21.12,22.28,20.96,21.16,50568.0,2022-01-03
20,BZFD,21.0,21.88,20.52,21.12,53003.25,2022-01-04
21,BZFD,20.96,21.68,20.644,20.84,33925.0,2022-01-05
22,BZFD,20.6,20.96,20.0,20.44,19827.5,2022-01-06
23,BZFD,20.2,20.68,19.52,19.92,26496.0,2022-01-07
24,BZFD,19.68,19.8,17.48,17.56,96618.25,2022-01-10
25,BZFD,17.64,18.8,17.08,18.48,83393.25,2022-01-11
26,BZFD,18.48,19.76,18.0,18.24,45903.25,2022-01-12
27,BZFD,18.08,18.4796,17.08,17.56,33105.0,2022-01-13
28,BZFD,18.48,20.0,17.72,17.92,91765.75,2022-01-14
29,BZFD,17.8,17.92,17.24,17.24,24998.25,2022-01-18
30,BZFD,17.28,17.96,16.24,16.56,52872.5,2022-01-19
31,BZFD,16.56,17.356,16.0404,16.16,38280.0,2022-01-20
32,BZFD,16.32,19.2,16.04,17.76,92292.5,2022-01-21
33,BZFD,17.4,17.452,16.16,16.6,51709.0,2022-01-24
34,BZFD,16.28,16.84,15.2,15.44,76006.75,2022-01-25
35,BZFD,15.76,15.96,14.76,14.92,21285.5,2022-01-26
36,BZFD,14.88,16.04,14.4896,15.36,22340.75,2022-01-27
37,BZFD,15.44,15.92,14.8,15.52,26446.25,2022-01-28
38,BZFD,15.92,16.4,15.24,15.96,24666.25,2022-01-31
39,BZFD,15.8,17.96,15.6,17.68,42547.5,2022-02-01
40,BZFD,17.96,18.0,16.72,16.72,18996.5,2022-02-02
41,BZFD,16.56,17.96,16.4,16.96,29308.5,2022-02-03
42,BZFD,16.72,18.6,16.72,17.88,28603.5,2022-02-04
43,BZFD,17.72,18.68,17.68,17.84,20239.25,2022-02-07
