,ticker,open,high,low,close,volume,timestamp
0,MU,54.85,55.49,54.51,55.39,20184045.0,2020-01-02
1,MU,54.16,55.305,54.0,54.53,16826595.0,2020-01-03
2,MU,53.75,54.14,53.164,53.565,18791489.0,2020-01-06
3,MU,55.38,58.4,55.36,58.27,50258741.0,2020-01-07
4,MU,58.09,58.39,57.06,57.52,29755395.0,2020-01-08
5,MU,58.32,58.48,56.48,57.31,22405701.0,2020-01-09
6,MU,57.47,57.5,56.2734,56.67,19148555.0,2020-01-10
7,MU,57.01,57.78,56.86,57.45,16192026.0,2020-01-13
8,MU,57.8,58.295,56.46,57.52,26550790.0,2020-01-14
9,MU,57.03,57.12,55.84,56.17,21558614.0,2020-01-15
10,MU,56.8,57.84,56.76,57.68,22732675.0,2020-01-16
11,MU,58.02,58.12,57.01,57.66,20549195.0,2020-01-17
12,MU,57.37,59.18,57.27,58.97,24821715.0,2020-01-21
13,MU,59.515,60.25,58.85,59.17,22604370.0,2020-01-22
14,MU,60.33,60.56,59.03,59.2,26146124.0,2020-01-23
15,MU,60.0,60.02,57.24,57.76,28555345.0,2020-01-24
16,MU,55.15,55.99,54.62,55.41,27310073.0,2020-01-27
17,MU,56.25,56.78,55.24,56.47,18544882.0,2020-01-28
18,MU,55.99,57.19,55.292,55.3,19306649.0,2020-01-29
19,MU,54.18,55.07,53.22,55.03,30783775.0,2020-01-30
20,MU,55.15,55.2,52.7,53.09,28550849.0,2020-01-31
21,MU,53.2535,54.11,53.0,53.78,20481023.0,2020-02-03
22,MU,55.29,56.02,54.94,55.5,19998615.0,2020-02-04
23,MU,57.02,57.26,55.82,56.77,19795257.0,2020-02-05
24,MU,58.08,59.17,57.41,58.68,23358721.0,2020-02-06
25,MU,57.97,58.0,56.77,56.88,20891081.0,2020-02-07
26,MU,56.3,57.34,56.2,57.33,15929036.0,2020-02-10
27,MU,57.88,58.84,56.33,57.25,26776853.0,2020-02-11
28,MU,59.04,61.19,58.9,59.27,47170308.0,2020-02-12
29,MU,59.005,60.625,58.86,59.33,23679687.0,2020-02-13
30,MU,60.16,60.56,58.26,58.5,20911468.0,2020-02-14
31,MU,57.07,58.0367,56.62,57.75,21547966.0,2020-02-18
32,MU,58.58,60.25,58.56,59.99,23335537.0,2020-02-19
33,MU,59.88,59.99,57.69,59.0,20796612.0,2020-02-20
34,MU,58.63,58.73,55.89,56.99,27051214.0,2020-02-21
35,MU,53.31,55.46,52.61,55.01,33321075.0,2020-02-24
36,MU,54.84,55.45,51.55,52.1,41894208.0,2020-02-25
37,MU,52.65,54.27,51.88,52.37,28100934.0,2020-02-26
38,MU,50.63,52.85,49.99,50.58,36349245.0,2020-02-27
39,MU,48.65,52.916,48.39,52.56,40288568.0,2020-02-28
40,MU,53.2,54.69,52.1,54.59,33247218.0,2020-03-02
41,MU,54.6,55.4,51.1,51.8,36893228.0,2020-03-03
42,MU,53.02,55.3761,52.21,55.29,28222016.0,2020-03-04
43,MU,53.45,55.61,53.34,53.72,26223045.0,2020-03-05
44,MU,52.2,53.19,50.0,51.47,30313741.0,2020-03-06
45,MU,45.48,48.6,44.9201,45.97,31260751.0,2020-03-09
46,MU,48.15,48.26,45.29,47.86,31502856.0,2020-03-10
47,MU,46.2,46.32,42.845,43.72,38512149.0,2020-03-11
48,MU,39.4,42.5397,38.0,38.81,40117178.0,2020-03-12
49,MU,41.57,43.02,38.35,42.99,35264761.0,2020-03-13
50,MU,37.35,39.14,34.45,34.47,36879094.0,2020-03-16
51,MU,35.49,39.13,34.0201,37.38,34869000.0,2020-03-17
52,MU,34.26,36.555,31.13,34.69,36518999.0,2020-03-18
53,MU,34.66,37.3,33.65,36.29,31015192.0,2020-03-19
54,MU,37.77,38.59,35.84,36.11,37667447.0,2020-03-20
55,MU,36.99,39.47,35.69,38.25,45286038.0,2020-03-23
56,MU,41.82,44.42,41.14,43.27,45587995.0,2020-03-24
57,MU,43.91,44.88,40.03,42.5,54091017.0,2020-03-25
58,MU,44.9,45.75,43.33,44.79,62564931.0,2020-03-26
59,MU,43.25,45.28,42.31,43.48,39791531.0,2020-03-27
60,MU,44.17,45.57,43.1475,44.52,33495446.0,2020-03-30
61,MU,44.4,45.17,41.91,42.06,36723661.0,2020-03-31
62,MU,40.5503,42.3,39.33,39.89,37452839.0,2020-04-01
63,MU,39.79,41.59,39.52,41.09,31457661.0,2020-04-02
64,MU,40.97,41.86,40.55,41.22,28522389.0,2020-04-03
65,MU,43.35,46.69,43.34,46.37,37899134.0,2020-04-06
66,MU,48.09,48.37,46.04,46.54,34646388.0,2020-04-07
67,MU,47.08,48.69,46.8,48.29,27694408.0,2020-04-08
68,MU,49.2997,49.81,45.35,46.13,39840439.0,2020-04-09
69,MU,44.9,46.39,44.39,46.17,30449948.0,2020-04-13
70,MU,47.0,48.38,46.6242,47.62,25737981.0,2020-04-14
71,MU,46.4,46.66,45.635,46.43,22389406.0,2020-04-15
72,MU,47.02,47.2,44.66,45.53,26588971.0,2020-04-16
73,MU,46.78,46.89,44.85,45.7,23388325.0,2020-04-17
74,MU,44.52,45.08,43.3,43.4,30463349.0,2020-04-20
75,MU,43.0,43.07,41.185,41.41,32482200.0,2020-04-21
76,MU,43.11,44.2,42.745,43.91,21398338.0,2020-04-22
77,MU,43.82,44.715,43.42,43.77,22272404.0,2020-04-23
78,MU,43.8,44.32,42.98,44.16,16592827.0,2020-04-24
