,ticker,open,high,low,close,volume,timestamp
0,OXLCI,25.24,25.47,25.1,25.4,347192,2024-07-09
1,OXLCI,25.48,25.55,25.45,25.48,74949,2024-07-10
2,OXLCI,25.5,25.64,25.48,25.55,96344,2024-07-11
3,OXLCI,25.55,25.55,25.47,25.5,51868,2024-07-12
4,OXLCI,25.53,25.68,25.51,25.67,79714,2024-07-15
5,OXLCI,25.65,25.81,25.6,25.762,98436,2024-07-16
6,OXLCI,25.75,25.75,25.65,25.67,42965,2024-07-17
7,OXLCI,25.73,25.73,25.67,25.7,34754,2024-07-18
8,OXLCI,25.73,25.73,25.53,25.57,35468,2024-07-19
9,OXLCI,25.62,25.71,25.62,25.66,32240,2024-07-22
10,OXLCI,25.69,25.7,25.6,25.7,25321,2024-07-23
11,OXLCI,25.65,25.69,25.6,25.6,21277,2024-07-24
12,OXLCI,25.645,25.74,25.64,25.69,29230,2024-07-25
13,OXLCI,25.72,25.73,25.62,25.68,10752,2024-07-26
14,OXLCI,25.7,25.73,25.65,25.72,8408,2024-07-29
15,OXLCI,25.65,25.8,25.64,25.65,43365,2024-07-30
16,OXLCI,25.75,25.83,25.65,25.72,706429,2024-07-31
17,OXLCI,25.61,25.77,25.61,25.75,72644,2024-08-01
18,OXLCI,25.75,25.75,25.6,25.75,14993,2024-08-02
19,OXLCI,25.75,25.78,25.51,25.53,85312,2024-08-05
20,OXLCI,25.6,25.68,25.56,25.65,28772,2024-08-06
21,OXLCI,25.69,25.6986,25.57,25.6,44744,2024-08-07
22,OXLCI,25.6,25.735,25.5999,25.65,31982,2024-08-08
23,OXLCI,25.68,25.6999,25.58,25.58,39978,2024-08-09
24,OXLCI,25.67,25.69,25.55,25.6,18532,2024-08-12
25,OXLCI,25.69,25.69,25.56,25.6,21858,2024-08-13
26,OXLCI,25.62,25.65,25.6001,25.64,23328,2024-08-14
27,OXLCI,25.65,25.65,25.55,25.55,20625,2024-08-15
28,OXLCI,25.6899,25.69,25.57,25.6385,36868,2024-08-16
29,OXLCI,25.66,25.67,25.58,25.668,18325,2024-08-19
30,OXLCI,25.67,25.67,25.58,25.63,35735,2024-08-20
31,OXLCI,25.6299,25.6299,25.55,25.6,32165,2024-08-21
32,OXLCI,25.57,25.67,25.54,25.58,37157,2024-08-22
33,OXLCI,25.58,25.64,25.58,25.6,18368,2024-08-23
34,OXLCI,25.62,25.69,25.55,25.59,37874,2024-08-26
35,OXLCI,25.59,25.73,25.59,25.66,112785,2024-08-27
36,OXLCI,25.635,25.69,25.62,25.64,48382,2024-08-28
37,OXLCI,25.69,25.72,25.62,25.72,20917,2024-08-29
38,OXLCI,25.72,25.84,25.59,25.62,575379,2024-08-30
39,OXLCI,25.68,25.77,25.66,25.7,19018,2024-09-03
40,OXLCI,25.7,25.8,25.6804,25.76,22514,2024-09-04
41,OXLCI,25.8,25.83,25.745,25.81,25857,2024-09-05
42,OXLCI,25.81,25.84,25.74,25.8,17148,2024-09-06
43,OXLCI,25.84,25.87,25.8,25.85,13010,2024-09-09
44,OXLCI,25.8666,25.87,25.8,25.87,6831,2024-09-10
45,OXLCI,25.87,25.96,25.868,25.89,23692,2024-09-11
46,OXLCI,25.92,25.97,25.85,25.93,13903,2024-09-12
47,OXLCI,25.65,25.66,25.6,25.65,64514,2024-09-13
